"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
3774,3,1,1,0,4,2009
3774,4,2,0,0,3,2009
3774,9,2,0,0,39,2009
3774,9,2,1,0,1,2009
3774,9,1,0,0,133,2009
3774,9,1,1,0,1,2009
3826,0,2,1,0,3,2009
3826,0,1,0,0,4,2009
3826,0,1,1,0,10,2009
3826,1,1,0,0,3,2009
3826,2,2,1,0,1,2009
3826,3,2,0,0,434,2009
3826,3,2,1,0,3,2009
3826,3,1,0,0,1502,2009
3826,3,1,1,0,3,2009
3826,9,2,0,0,1,2009
3826,9,1,0,0,2,2009
3847,0,2,0,0,250,2009
3847,0,1,0,0,336,2009
3847,1,2,0,0,6,2009
3847,2,2,0,0,4,2009
3847,2,1,0,0,1,2009
3847,3,2,0,0,3,2009
3847,3,1,0,0,7,2009
3847,9,2,0,0,23,2009
3847,9,1,0,0,27,2009
3962,0,2,0,0,50,2009
3962,0,2,1,0,20,2009
3962,0,1,0,0,4,2009
3962,0,1,1,0,2,2009
3962,1,2,0,0,51,2009
3962,1,2,1,0,7,2009
3962,1,1,0,0,11,2009
3962,1,1,1,0,5,2009
3962,2,2,0,0,63,2009
3962,2,2,1,0,1,2009
3962,2,1,0,0,19,2009
3962,3,2,0,0,298,2009
3962,3,2,1,0,17,2009
3962,3,1,0,0,62,2009
3962,3,1,1,0,8,2009
3962,4,2,0,0,1,2009
3962,9,2,0,0,32,2009
3962,9,2,1,0,2,2009
3962,9,1,0,0,9,2009
4460,0,2,0,0,3,2009
4460,1,2,0,0,1,2009
4460,1,1,0,0,4,2009
4460,2,2,0,0,20,2009
4460,2,1,0,0,25,2009
4460,3,2,0,0,4,2009
4460,3,1,0,0,20,2009
4460,9,2,0,0,2,2009
4460,9,1,0,0,2,2009
4538,0,1,0,0,1,2009
4538,1,1,0,0,5,2009
4538,2,1,0,0,10,2009
4538,3,1,0,0,14,2009
4538,4,1,0,0,1,2009
4538,5,2,0,0,1,2009
4538,9,2,0,0,2,2009
4538,9,1,0,0,36,2009
40,0,2,0,NA,259,2010
40,0,2,1,NA,8,2010
40,0,1,0,NA,401,2010
40,0,1,1,NA,9,2010
40,1,1,0,NA,6,2010
40,2,2,0,NA,3,2010
40,2,1,0,NA,7,2010
40,3,2,0,NA,9,2010
40,3,2,1,NA,1,2010
40,3,1,0,NA,18,2010
40,3,1,1,NA,1,2010
40,9,2,0,NA,1471,2010
40,9,2,1,NA,215,2010
40,9,1,0,NA,2421,2010
40,9,1,1,NA,505,2010
152,0,2,0,NA,16,2010
152,0,1,0,NA,19,2010
152,0,1,1,NA,2,2010
152,1,2,0,NA,2,2010
152,1,2,1,NA,3,2010
152,1,1,0,NA,3,2010
152,1,1,1,NA,3,2010
152,2,2,0,NA,2,2010
152,3,2,0,NA,22,2010
152,3,2,1,NA,1,2010
152,3,1,0,NA,31,2010
152,4,1,0,NA,1,2010
152,9,2,0,NA,410,2010
152,9,2,1,NA,140,2010
152,9,1,0,NA,443,2010
152,9,1,1,NA,135,2010
385,0,2,0,NA,6422,2010
385,0,2,1,NA,716,2010
